index,x,y,dx,dy
a-144x-176.4,-144,-176.4,-9.3990021,3.2649933
a-140.4x-176.4,-140.4,-176.4,-9.5730042,3.1800018
a-136.8x-176.4,-136.8,-176.4,-9.7449997,3.0909973
a-133.2x-176.4,-133.2,-176.4,-9.9129974,3.0029999
a-129.6x-176.4,-129.6,-176.4,-10.0800034,2.9079987
a-126x-176.4,-126,-176.4,-10.2480011,2.7970062
a-122.4x-176.4,-122.4,-176.4,-10.4110016,2.6460052
a-118.8x-176.4,-118.8,-176.4,-10.5679977,2.547998
a-115.2x-176.4,-115.2,-176.4,-10.726001,2.4670044
a-111.6x-176.4,-111.6,-176.4,-10.8740021,2.3579956
a-108x-176.4,-108,-176.4,-11.0167007,2.2329956
a-104.4x-176.4,-104.4,-176.4,-11.1547989,2.1050049
a-100.8x-176.4,-100.8,-176.4,-11.2866028,1.9619995
a-97.2x-176.4,-97.2,-176.4,-11.4139969,1.8220001
a-93.6x-176.4,-93.6,-176.4,-11.5356003,1.6769958
a-90x-176.4,-90,-176.4,-11.6518021,1.5129944
a-86.4x-176.4,-86.4,-176.4,-11.7625031,1.3899933
a-82.8x-176.4,-82.8,-176.4,-11.8669022,1.2340027
a-79.2x-176.4,-79.2,-176.4,-11.9710037,1.0470062
a-75.6x-176.4,-75.6,-176.4,-12.0653015,0.8680054
a-72x-176.4,-72,-176.4,-12.1506996,0.6879974
a-68.4x-176.4,-68.4,-176.4,-12.2284988,0.504007
a-64.8x-176.4,-64.8,-176.4,-12.3005989,0.3160034
a-61.2x-176.4,-61.2,-176.4,-12.3660995,0.122995
a-57.6x-176.4,-57.6,-176.4,-12.4241997,-0.0699982
a-54x-176.4,-54,-176.4,-12.4720001,-0.2699951
a-50.4x-176.4,-50.4,-176.4,-12.5104012,-0.4809937
a-46.8x-176.4,-46.8,-176.4,-12.5425995,-0.6850037
a-43.2x-176.4,-43.2,-176.4,-12.5647003,-0.8980011
a-39.6x-176.4,-39.6,-176.4,-12.5759998,-1.1200012
a-36x-176.4,-36,-176.4,-12.5778008,-1.3360046
a-32.4x-176.4,-32.4,-176.4,-12.5700001,-1.5549988
a-28.8x-176.4,-28.8,-176.4,-12.5513008,-1.7769989
a-25.2x-176.4,-25.2,-176.4,-12.5226995,-1.9950012
a-21.6x-176.4,-21.6,-176.4,-12.4824997,-2.2190002
a-18x-176.4,-18,-176.4,-12.4327402,-2.4460052
a-14.4x-176.4,-14.4,-176.4,-12.37208,-2.6709961
a-10.8x-176.4,-10.8,-176.4,-12.29982,-2.8949951
a-7.2x-176.4,-7.2,-176.4,-12.2172601,-3.1180023
a-3.6x-176.4,-3.6,-176.4,-12.12355,-3.3400024
a0x-176.4,0,-176.4,-12.0193996,-3.5560059
a3.6x-176.4,3.6,-176.4,-11.9033998,-3.7730011
a7.2x-176.4,7.2,-176.4,-11.7775009,-3.9939941
a10.8x-176.4,10.8,-176.4,-11.6407005,-4.2119965
a14.4x-176.4,14.4,-176.4,-11.4938007,-4.4200043
a18x-176.4,18,-176.4,-11.3381996,-4.620993
a21.6x-176.4,21.6,-176.4,-11.1723007,-4.8190063
a25.2x-176.4,25.2,-176.4,-10.9969986,-5.0119995
a28.8x-176.4,28.8,-176.4,-10.8125984,-5.202002
a32.4x-176.4,32.4,-176.4,-10.6200996,-5.3850006
a36x-176.4,36,-176.4,-10.4207001,-5.5589966
a39.6x-176.4,39.6,-176.4,-10.2119011,-5.7289948
a43.2x-176.4,43.2,-176.4,-9.9949997,-5.8940033
a46.8x-176.4,46.8,-176.4,-9.7724983,-6.0499939
