FID,index,x,y,dx,dy,,
62,a43.2x-180,43.2,-180,53.0359993,-174.326004,-9.8359993,-5.673996
63,a46.8x-180,46.8,-180,56.4207001,-174.1790009,-9.6207001,-5.8209991
64,a50.4x-180,50.4,-180,59.8008003,-174.0410004,-9.4008003,-5.9589996
65,a54x-180,54,-180,63.1725998,-173.9080048,-9.1725998,-6.0919952
66,a57.6x-180,57.6,-180,66.5382004,-173.7839966,-8.9382004,-6.2160034
67,a61.2x-180,61.2,-180,69.8998032,-173.6690063,-8.6998032,-6.3309937
68,a64.8x-180,64.8,-180,73.2574005,-173.5610046,-8.4574005,-6.4389954
69,a68.4x-180,68.4,-180,76.6097031,-173.4620056,-8.2097031,-6.5379944
70,a72x-180,72,-180,79.956398,-173.3699951,-7.956398,-6.6300049
71,a75.6x-180,75.6,-180,83.3013,-173.2850037,-7.7013,-6.7149963
72,a79.2x-180,79.2,-180,86.6458969,-173.2100067,-7.4458969,-6.7899933
73,a82.8x-180,82.8,-180,89.9875031,-173.1419983,-7.1875031,-6.8580017
74,a86.4x-180,86.4,-180,93.3228989,-173.0859985,-6.9228989,-6.9140015
75,a90x-180,90,-180,96.6567001,-173.0390015,-6.6567001,-6.9609985
76,a93.6x-180,93.6,-180,99.9941025,-173.0019989,-6.3941025,-6.9980011
77,a97.2x-180,97.2,-180,103.3310013,-172.9720001,-6.1310013,-7.0279999
78,a100.8x-180,100.8,-180,106.6650009,-172.951004,-5.8650009,-7.048996
79,a104.4x-180,104.4,-180,109.9990005,-172.9380035,-5.5990005,-7.0619965
80,a108x-180,108,-180,113.3359985,-172.9299927,-5.3359985,-7.0700073
81,a111.6x-180,111.6,-180,116.677002,-172.9290009,-5.077002,-7.0709991
82,a115.2x-180,115.2,-180,120.0189972,-172.9389954,-4.8189972,-7.0610046
83,a118.8x-180,118.8,-180,123.3590012,-172.9570007,-4.5590012,-7.0429993
84,a122.4x-180,122.4,-180,126.7030029,-172.9819946,-4.3030029,-7.0180054
85,a126x-180,126,-180,130.0559998,-173.0119934,-4.0559998,-6.9880066
86,a129.6x-180,129.6,-180,133.4100037,-173.0529938,-3.8100037,-6.9470062
87,a133.2x-180,133.2,-180,136.7649994,-173.0970001,-3.5649994,-6.9029999
