FID,index,x,y,dx,dy,,
61,a39.6x-180,39.6,-180,39.5675011,-178.9640045,0.0324989,-1.0359955
62,a43.2x-180,43.2,-180,43.1444016,-178.9620056,0.0555984,-1.0379944
63,a46.8x-180,46.8,-180,46.7192001,-178.9600067,0.0807999,-1.0399933
64,a50.4x-180,50.4,-180,50.2963982,-178.9570007,0.1036018,-1.0429993
65,a54x-180,54,-180,53.8768005,-178.9550018,0.1231995,-1.0449982
66,a57.6x-180,57.6,-180,57.4560013,-178.9519958,0.1439987,-1.0480042
67,a61.2x-180,61.2,-180,61.0304985,-178.9490051,0.1695015,-1.0509949
68,a64.8x-180,64.8,-180,64.6046982,-178.9459991,0.1953018,-1.0540009
69,a68.4x-180,68.4,-180,68.1845016,-178.9420013,0.2154984,-1.0579987
70,a72x-180,72,-180,71.7656021,-178.9389954,0.2343979,-1.0610046
71,a75.6x-180,75.6,-180,75.3423004,-178.9349976,0.2576996,-1.0650024
72,a79.2x-180,79.2,-180,78.9151001,-178.9299927,0.2848999,-1.0700073
73,a82.8x-180,82.8,-180,82.4919968,-178.9259949,0.3080032,-1.0740051
74,a86.4x-180,86.4,-180,86.0737991,-178.9210052,0.3262009,-1.0789948
75,a90x-180,90,-180,89.6547012,-178.9160004,0.3452988,-1.0839996
76,a93.6x-180,93.6,-180,93.2294998,-178.9109955,0.3705002,-1.0890045
77,a97.2x-180,97.2,-180,96.8031006,-178.9049988,0.3968994,-1.0950012
78,a100.8x-180,100.8,-180,100.3830032,-178.8990021,0.4169968,-1.1009979
79,a104.4x-180,104.4,-180,103.9660034,-178.8919983,0.4339966,-1.1080017
80,a108x-180,108,-180,107.5449982,-178.8849945,0.4550018,-1.1150055
81,a111.6x-180,111.6,-180,111.1179962,-178.878006,0.4820038,-1.121994
82,a115.2x-180,115.2,-180,114.6930008,-178.8710022,0.5069992,-1.1289978
83,a118.8x-180,118.8,-180,118.2750015,-178.8630066,0.5249985,-1.1369934
84,a122.4x-180,122.4,-180,121.8570023,-178.8540039,0.5429977,-1.1459961
85,a126x-180,126,-180,125.4300003,-178.845993,0.5699997,-1.154007
86,a129.6x-180,129.6,-180,129.0010071,-178.8370056,0.5989929,-1.1629944
87,a133.2x-180,133.2,-180,132.5789948,-178.8269958,0.6210052,-1.1730042
88,a136.8x-180,136.8,-180,136.1620026,-178.8159943,0.6379974,-1.1840057
89,a140.4x-180,140.4,-180,139.7409973,-178.8049927,0.6590027,-1.1950073
90,a144x-180,144,-180,143.3139954,-178.7940063,0.6860046,-1.2059937
91,a147.6x-180,147.6,-180,146.8860016,-178.7819977,0.7139984,-1.2180023
92,a151.2x-180,151.2,-180,150.4689941,-178.7700043,0.7310059,-1.2299957
93,a154.8x-180,154.8,-180,154.0549927,-178.7570038,0.7450073,-1.2429962
94,a158.4x-180,158.4,-180,157.6349945,-178.7440033,0.7650055,-1.2559967
95,a162x-180,162,-180,161.2089996,-178.7299957,0.7910004,-1.2700043
96,a165.6x-180,165.6,-180,164.7910004,-178.7160034,0.8089996,-1.2839966
97,a169.2x-180,169.2,-180,168.3809967,-178.701004,0.8190033,-1.298996
98,a172.8x-180,172.8,-180,171.9689941,-178.6840057,0.8310059,-1.3159943
99,a176.4x-180,176.4,-180,175.5500031,-178.6660004,0.8499969,-1.3339996
100,a-180x-176.4,-180,-176.4,-178.6849976,-175.0740051,-1.3150024,-1.3259949
101,a-176.4x-176.4,-176.4,-176.4,-175.1080017,-175.0910034,-1.2919983,-1.3089966
102,a-172.8x-176.4,-172.8,-176.4,-171.5269928,-175.1069946,-1.2730072,-1.2930054
103,a-169.2x-176.4,-169.2,-176.4,-167.9389954,-175.1230011,-1.2610046,-1.2769989
104,a-165.6x-176.4,-165.6,-176.4,-164.3549957,-175.1380005,-1.2450043,-1.2619995
105,a-162x-176.4,-162,-176.4,-160.7819977,-175.1519928,-1.2180023,-1.2480072
106,a-158.4x-176.4,-158.4,-176.4,-157.2089996,-175.1660004,-1.1910004,-1.2339996
107,a-154.8x-176.4,-154.8,-176.4,-153.628006,-175.1790009,-1.171994,-1.2209991
108,a-151.2x-176.4,-151.2,-176.4,-150.0429993,-175.1909943,-1.1570007,-1.2090057
109,a-147.6x-176.4,-147.6,-176.4,-146.4649963,-175.2030029,-1.1350037,-1.1969971
110,a-144x-176.4,-144,-176.4,-142.8939972,-175.2140045,-1.1060028,-1.1859955
111,a-140.4x-176.4,-140.4,-176.4,-139.3200073,-175.2250061,-1.0799927,-1.1749939
112,a-136.8x-176.4,-136.8,-176.4,-135.7359924,-175.2359924,-1.0640076,-1.1640076
113,a-133.2x-176.4,-133.2,-176.4,-132.1519928,-175.2449951,-1.0480072,-1.1550049
114,a-129.6x-176.4,-129.6,-176.4,-128.5780029,-175.2539978,-1.0219971,-1.1460022
115,a-126x-176.4,-126,-176.4,-125.0049973,-175.2630005,-0.9950027,-1.1369995
116,a-122.4x-176.4,-122.4,-176.4,-121.4260025,-175.2720032,-0.9739975,-1.1279968
117,a-118.8x-176.4,-118.8,-176.4,-117.8430023,-175.279007,-0.9569977,-1.120993
118,a-115.2x-176.4,-115.2,-176.4,-114.2639999,-175.2870026,-0.9360001,-1.1129974
119,a-111.6x-176.4,-111.6,-176.4,-110.6900024,-175.2940063,-0.9099976,-1.1059937
120,a-108x-176.4,-108,-176.4,-107.1149979,-175.3009949,-0.8850021,-1.0990051
121,a-104.4x-176.4,-104.4,-176.4,-103.5339966,-175.3079987,-0.8660034,-1.0920013
122,a-100.8x-176.4,-100.8,-176.4,-99.9526978,-175.3139954,-0.8473022,-1.0860046
123,a-97.2x-176.4,-97.2,-176.4,-96.3776016,-175.3200073,-0.8223984,-1.0799927
